Earthquake count within 2deg border 2010,Earthquake count within 2deg border 2011,Earthquake count within 2deg border 2012,Earthquake count within 2deg border 2013,Earthquake count within 2deg border 2014,Earthquake count within 2deg border 2015,Earthquake count within 2deg border 2016,Earthquake count within 2deg border 2017,Earthquake count within 2deg border 2018,Earthquake count within 2deg border 2019,Earthquake count within 2deg border 2020,Earthquake count within 2deg border 2021,Earthquake count within 2deg border 2022,Earthquake count within 2deg border 2023,Total
United States of America,85.0,49.0,36.0,52.0,49.0,65.0,50.0,61.0,87.0,48.0,88.0,57.0,40.0,32.0,799.0
Uzbekistan,9.0,4.0,7.0,6.0,2.0,9.0,13.0,8.0,3.0,2.0,5.0,4.0,3.0,3.0,78.0
Vanuatu,138.0,151.0,62.0,52.0,19.0,32.0,58.0,85.0,102.0,41.0,40.0,59.0,43.0,57.0,939.0
Venezuela,3.0,0.0,0.0,2.0,2.0,4.0,2.0,5.0,3.0,1.0,4.0,4.0,3.0,0.0,33.0
Wallis and Futuna Is.,3.0,8.0,3.0,1.0,7.0,3.0,2.0,3.0,3.0,2.0,1.0,4.0,0.0,2.0,42.0
Yemen,27.0,10.0,1.0,4.0,0.0,5.0,2.0,0.0,4.0,3.0,1.0,3.0,0.0,8.0,68.0
Anguilla,0.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,3.0,2.0,16.0
Antarctica,0.0,2.0,7.0,29.0,2.0,2.0,3.0,0.0,1.0,0.0,19.0,14.0,4.0,1.0,84.0
Armenia,0.0,14.0,14.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,3.0,2.0,6.0,5.0,54.0
Barbados,0.0,1.0,1.0,0.0,3.0,3.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,13.0
Bhutan,0.0,2.0,3.0,2.0,0.0,3.0,3.0,0.0,1.0,1.0,2.0,5.0,0.0,1.0,23.0
Botswana,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
British Virgin Is.,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,13.0
Dem. Rep. Congo,0.0,1.0,0.0,3.0,1.0,4.0,1.0,5.0,0.0,4.0,2.0,1.0,1.0,1.0,24.0
Georgia,0.0,1.0,7.0,3.0,2.0,1.0,1.0,3.0,2.0,1.0,0.0,3.0,3.0,0.0,27.0
